source,category,link
Nek In India,Motivational,https://rss.app/feeds/OBeciIaynzNj3chb.xml
Positive Post of India,Motivational,https://rss.app/feeds/ufg0btu6eFkL7Mrk.xml
Your Story,Motivational,https://rss.app/feeds/XvrWxLyGLZPYbhEl.xml
New Indian Express,Motivational,https://www.newindianexpress.com/Videos/Good-News/rssfeed/?id=421&getXmlFeed=true
